X,Y,Z,Name,Confidence,N frame
3.63036879e+05,5.10854750e+06,1.86815857e+02,regulatory--keep-right--g1,0.32,1648
3.63035975e+05,5.10854859e+06,1.86857158e+02,information--pedestrians-crossing--g1,0.28,1649
3.63023750e+05,5.10854765e+06,1.86940761e+02,information--pedestrians-crossing--g1,0.61,1651
3.63021421e+05,5.10854804e+06,1.86980133e+02,information--pedestrians-crossing--g1,0.53,1652
3.63018848e+05,5.10854853e+06,1.87032814e+02,information--pedestrians-crossing--g1,0.62,1653
3.63015918e+05,5.10854870e+06,1.87096594e+02,information--pedestrians-crossing--g1,0.52,1654
3.63015918e+05,5.10854870e+06,1.87096594e+02,information--pedestrians-crossing--g1,0.52,1654
3.63016819e+05,5.10855057e+06,1.87116727e+02,regulatory--yield--g1,0.45,1655
3.63014607e+05,5.10855115e+06,1.87177332e+02,regulatory--yield--g1,0.42,1656
3.63012181e+05,5.10855195e+06,1.87364894e+02,regulatory--yield--g1,0.50,1657
3.63012181e+05,5.10855195e+06,1.87364894e+02,regulatory--yield--g1,0.50,1657
3.63009804e+05,5.10855230e+06,1.87317975e+02,regulatory--yield--g1,0.50,1658
3.63007083e+05,5.10855301e+06,1.87549145e+02,regulatory--yield--g1,0.54,1659
3.63004265e+05,5.10855331e+06,1.87512153e+02,regulatory--yield--g1,0.46,1660
3.62949483e+05,5.10854956e+06,1.90835094e+02,information--pedestrians-crossing--g1,0.43,1691
3.62952937e+05,5.10854805e+06,1.87468927e+02,information--pedestrians-crossing--g1,0.59,1693
nan,nan,nan,information--safety-area--g2,0.40,1694
nan,nan,nan,information--pedestrians-crossing--g1,0.51,1695
3.62928829e+05,5.10852247e+06,1.86845226e+02,regulatory--keep-right--g1,0.30,1713
3.62929266e+05,5.10851443e+06,1.86759750e+02,information--pedestrians-crossing--g1,0.46,1714
3.62928355e+05,5.10851220e+06,1.86723161e+02,information--pedestrians-crossing--g1,0.49,1715
3.62927622e+05,5.10850979e+06,1.86672917e+02,information--pedestrians-crossing--g1,0.55,1716
3.62927622e+05,5.10850979e+06,1.86672917e+02,information--pedestrians-crossing--g1,0.55,1716
3.62927622e+05,5.10850979e+06,1.86672917e+02,information--pedestrians-crossing--g1,0.55,1716
3.62926816e+05,5.10850700e+06,1.86601314e+02,information--pedestrians-crossing--g1,0.68,1717
3.62925540e+05,5.10850502e+06,1.86551298e+02,regulatory--yield--g1,0.42,1719
3.62924553e+05,5.10850256e+06,1.86494397e+02,regulatory--yield--g1,0.50,1720
3.62923875e+05,5.10849976e+06,1.86429802e+02,regulatory--yield--g1,0.43,1721
3.62923875e+05,5.10849976e+06,1.86429802e+02,regulatory--yield--g1,0.43,1721
3.62923875e+05,5.10849976e+06,1.86429802e+02,regulatory--yield--g1,0.43,1721
3.62918953e+05,5.10850568e+06,1.86520985e+02,regulatory--yield--g1,0.39,1722
3.62917418e+05,5.10850484e+06,1.86512040e+02,regulatory--yield--g1,0.32,1723
3.62917418e+05,5.10850484e+06,1.86512040e+02,regulatory--yield--g1,0.32,1723
3.62879620e+05,5.10849214e+06,1.86125069e+02,regulatory--yield--g1,0.36,1745
3.62877319e+05,5.10849110e+06,1.86124528e+02,regulatory--yield--g1,0.36,1746
3.62875223e+05,5.10848995e+06,1.86113744e+02,regulatory--yield--g1,0.29,1747
3.62873185e+05,5.10848858e+06,1.86108068e+02,regulatory--yield--g1,0.40,1748
3.62871382e+05,5.10848721e+06,1.86109497e+02,regulatory--yield--g1,0.26,1749
3.62869506e+05,5.10848541e+06,1.86106534e+02,regulatory--yield--g1,0.42,1750
3.62868002e+05,5.10848367e+06,1.86094846e+02,regulatory--yield--g1,0.31,1751
3.62866639e+05,5.10848180e+06,1.86082922e+02,regulatory--yield--g1,0.43,1752
3.62865527e+05,5.10847979e+06,1.86068155e+02,regulatory--yield--g1,0.50,1753
3.62864674e+05,5.10847759e+06,1.86047500e+02,regulatory--yield--g1,0.52,1754
3.62864032e+05,5.10847519e+06,1.86026412e+02,regulatory--yield--g1,0.57,1755
3.62864093e+05,5.10847255e+06,1.85982251e+02,regulatory--yield--g1,0.47,1756
3.62864093e+05,5.10847255e+06,1.85982251e+02,regulatory--yield--g1,0.47,1756
3.62864093e+05,5.10847255e+06,1.85982251e+02,regulatory--yield--g1,0.47,1756
3.62864575e+05,5.10846925e+06,1.85979632e+02,regulatory--yield--g1,0.54,1757
3.62800604e+05,5.10830998e+06,1.85472404e+02,regulatory--keep-right--g1,0.32,1848
3.62799439e+05,5.10830935e+06,1.85458086e+02,regulatory--keep-right--g1,0.36,1849
3.62797187e+05,5.10830222e+06,1.85466510e+02,regulatory--yield--g1,0.43,1850
3.62797187e+05,5.10830222e+06,1.85466510e+02,regulatory--yield--g1,0.43,1850
3.62795780e+05,5.10830054e+06,1.85449706e+02,regulatory--yield--g1,0.37,1851
3.62795780e+05,5.10830054e+06,1.85449706e+02,regulatory--yield--g1,0.37,1851
3.62793340e+05,5.10830160e+06,1.85460889e+02,regulatory--yield--g1,0.52,1852
3.62793340e+05,5.10830160e+06,1.85460889e+02,regulatory--yield--g1,0.52,1852
3.62792681e+05,5.10829714e+06,1.85407802e+02,regulatory--yield--g1,0.40,1853
3.62792681e+05,5.10829714e+06,1.85407802e+02,regulatory--yield--g1,0.40,1853
3.62791230e+05,5.10829549e+06,1.85381844e+02,regulatory--yield--g1,0.61,1854
3.62791230e+05,5.10829549e+06,1.85381844e+02,regulatory--yield--g1,0.61,1854
3.62789510e+05,5.10829355e+06,1.85386772e+02,regulatory--yield--g1,0.42,1855
3.62789510e+05,5.10829355e+06,1.85386772e+02,regulatory--yield--g1,0.42,1855
3.62787676e+05,5.10829150e+06,1.85375274e+02,regulatory--yield--g1,0.50,1856
3.62787676e+05,5.10829150e+06,1.85375274e+02,regulatory--yield--g1,0.50,1856
nan,nan,nan,regulatory--yield--g1,0.43,1857
